2025-05-31 20:20:42 [background-preinit] INFO  [] org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-05-31 20:20:42 [restartedMain] INFO  [] com.shop.ShopApplication - Starting ShopApplication using Java 21.0.6 with PID 201047 (/home/akira/UisraelProjetcs/app_shop/api_shop/target/classes started by akira in /home/akira/UisraelProjetcs/app_shop/api_shop)
2025-05-31 20:20:42 [restartedMain] INFO  [] com.shop.ShopApplication - No active profile set, falling back to 1 default profile: "default"
2025-05-31 20:20:42 [restartedMain] INFO  [] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-05-31 20:20:42 [restartedMain] INFO  [] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-05-31 20:20:43 [restartedMain] INFO  [] org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-05-31 20:20:43 [restartedMain] INFO  [] org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13 ms. Found 0 JPA repository interfaces.
2025-05-31 20:20:43 [restartedMain] INFO  [] org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-05-31 20:20:43 [restartedMain] INFO  [] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-05-31 20:20:43 [restartedMain] INFO  [] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-05-31 20:20:43 [restartedMain] INFO  [] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
2025-05-31 20:20:43 [restartedMain] INFO  [] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/shop/api/v1] - Initializing Spring embedded WebApplicationContext
2025-05-31 20:20:43 [restartedMain] INFO  [] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1315 ms
2025-05-31 20:20:44 [restartedMain] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-05-31 20:20:44 [restartedMain] INFO  [] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@48b512c9
2025-05-31 20:20:44 [restartedMain] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-05-31 20:20:44 [restartedMain] INFO  [] org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-05-31 20:20:44 [restartedMain] INFO  [] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.3.Final
2025-05-31 20:20:44 [restartedMain] INFO  [] org.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-05-31 20:20:44 [restartedMain] INFO  [] org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-05-31 20:20:45 [restartedMain] INFO  [] org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-05-31 20:20:45 [restartedMain] INFO  [] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-05-31 20:20:45 [restartedMain] WARN  [] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-05-31 20:20:45 [restartedMain] INFO  [] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-05-31 20:20:45 [restartedMain] INFO  [] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-05-31 20:20:45 [restartedMain] INFO  [] org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/shop/api/v1'
2025-05-31 20:20:45 [restartedMain] INFO  [] com.shop.ShopApplication - Started ShopApplication in 3.735 seconds (process running for 6.409)
2025-05-31 20:20:57 [File Watcher] INFO  [] org.springframework.boot.devtools.autoconfigure.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 7 class path changes (0 additions, 5 deletions, 2 modifications)
2025-05-31 20:20:57 [Thread-5] INFO  [] org.apache.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8080"]
2025-05-31 20:20:57 [Thread-5] INFO  [] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-05-31 20:20:57 [Thread-5] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-05-31 20:20:57 [Thread-5] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-05-31 20:20:57 [restartedMain] INFO  [] com.shop.ShopApplication - Starting ShopApplication using Java 21.0.6 with PID 201047 (/home/akira/UisraelProjetcs/app_shop/api_shop/target/classes started by akira in /home/akira/UisraelProjetcs/app_shop/api_shop)
2025-05-31 20:20:57 [restartedMain] INFO  [] com.shop.ShopApplication - No active profile set, falling back to 1 default profile: "default"
2025-05-31 20:20:57 [restartedMain] INFO  [] org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-05-31 20:20:57 [restartedMain] INFO  [] org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 2 ms. Found 0 JPA repository interfaces.
2025-05-31 20:20:57 [restartedMain] INFO  [] org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-05-31 20:20:57 [restartedMain] INFO  [] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-05-31 20:20:57 [restartedMain] INFO  [] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-05-31 20:20:57 [restartedMain] INFO  [] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
2025-05-31 20:20:57 [restartedMain] INFO  [] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/shop/api/v1] - Initializing Spring embedded WebApplicationContext
2025-05-31 20:20:57 [restartedMain] INFO  [] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 547 ms
2025-05-31 20:20:57 [restartedMain] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Starting...
2025-05-31 20:20:57 [restartedMain] INFO  [] com.zaxxer.hikari.pool.HikariPool - HikariPool-2 - Added connection org.postgresql.jdbc.PgConnection@4b5376f0
2025-05-31 20:20:57 [restartedMain] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Start completed.
2025-05-31 20:20:57 [restartedMain] INFO  [] org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-05-31 20:20:57 [restartedMain] INFO  [] org.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-05-31 20:20:57 [restartedMain] INFO  [] org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-05-31 20:20:58 [restartedMain] INFO  [] org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-05-31 20:20:58 [restartedMain] INFO  [] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-05-31 20:20:58 [restartedMain] WARN  [] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-05-31 20:20:58 [restartedMain] INFO  [] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-05-31 20:20:58 [restartedMain] INFO  [] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-05-31 20:20:58 [restartedMain] INFO  [] org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/shop/api/v1'
2025-05-31 20:20:58 [restartedMain] INFO  [] com.shop.ShopApplication - Started ShopApplication in 1.202 seconds (process running for 19.143)
2025-05-31 20:20:58 [restartedMain] INFO  [] org.springframework.boot.devtools.autoconfigure.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2025-05-31 20:20:59 [File Watcher] INFO  [] org.springframework.boot.devtools.autoconfigure.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 5 class path changes (5 additions, 0 deletions, 0 modifications)
2025-05-31 20:20:59 [Thread-7] INFO  [] org.apache.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8080"]
2025-05-31 20:20:59 [Thread-7] INFO  [] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-05-31 20:20:59 [Thread-7] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown initiated...
2025-05-31 20:20:59 [Thread-7] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown completed.
2025-05-31 20:20:59 [restartedMain] INFO  [] com.shop.ShopApplication - Starting ShopApplication using Java 21.0.6 with PID 201047 (/home/akira/UisraelProjetcs/app_shop/api_shop/target/classes started by akira in /home/akira/UisraelProjetcs/app_shop/api_shop)
2025-05-31 20:20:59 [restartedMain] INFO  [] com.shop.ShopApplication - No active profile set, falling back to 1 default profile: "default"
